Nama;Gender;Bahasa;Inggris;TIK;Matematika;Fisika;Kimia;Biologi;Geografi;Sosiologi;Antropologi;Extra_Kurikuler;Tinggal_Dengan;Status_Kerja;Biaya;Tgl_Daftar_Kuliah;Alamat;UKM;Organisasi_Kampus;Lama_Kuliah;Fakultas
Benjamin Utterson;Pria;84;85,3;88;72,8;83,9;87;72,3;77,1;87,8;74;Ekskul_6;NA;Bekerja;Orang Tua;2008;Serang;UKM_3;Ya;6,5;FTI
Benjamin Whittle;Wanita;83,4;80,5;66,2;74,1;63,6;61,8;82,8;63,5;78,2;69,2;Tidak;Orang Tua;Bekerja;NA;2007;Bekasi;UKM_2;Tidak;5;FT
Benjamin Woodcock;Wanita;86,7;81,8;73,8;65,9;78,6;61,6;68,7;76,6;79,2;66,1;Ekskul_5;NA;Bekerja;Beasiswa;2007;Bogor;UKM_3;Ya;4,5;DKV
Benjamin York;Wanita;76,5;70,5;84,6;73,6;65,9;87,5;66,2;60,7;88,1;62,8;Ekskul_6;Orang Tua;Bekerja;Beasiswa;2009;Serang;UKM_4;Tidak;5,5;FT
Benjamin Young;Wanita;71,4;74,6;63;60,4;72;63,8;86,3;82,6;77,5;83,8;Ekskul_5;Orang Tua;Belum;Beasiswa;2008;Jakarta;UKM_3;Tidak;5,5;FT
Benny Addison;Wanita;88,1;62,3;82;76,7;74,4;87,4;76,2;68,4;80,9;60,7;Ekskul_5;Kos;Bekerja;Beasiswa;2007;Tangerang;UKM_3;Tidak;4;FT
Benny Allcott;Wanita;69,3;86,5;68,6;68,1;74;84,5;71,4;76,3;86,2;NA;Tidak;Kos;Belum;Beasiswa;2008;Bogor;UKM_4;Ya;4,5;DKV
Benny Ashley;Wanita;77,7;71;88,2;86,1;75,7;62,2;79,8;87,2;60,5;NA;Ekskul_6;Kos;Belum;NA;2007;Bogor;UKM_1;Tidak;3,5;FT
Benny Brooks;Pria;67,8;74,9;61,1;68,4;61,5;81,7;85,5;83,1;68,6;83,6;Ekskul_6;Orang Tua;Bekerja;NA;2007;Bogor;UKM_4;Tidak;5;FTI
Benny Clark;Wanita;64;65,4;80,1;86,6;73,2;82,8;67,2;72;80;84;Ekskul_5;NA;Bekerja;Beasiswa;2007;Bogor;UKM_2;Tidak;4;FIKOM
Benny Cobb;Pria;86,9;65,1;61,3;68,6;70,6;71,1;68,2;62,9;82,6;78,5;Ekskul_5;Orang Tua;Belum;NA;2007;Serang;UKM_1;Ya;6;FIKOM
Benny Davies;Wanita;86,6;78,9;65,8;85,6;87,7;66,8;87,9;77,8;62,8;81,4;Ekskul_4;Orang Tua;Belum;NA;2007;Tangerang;UKM_4;Tidak;4;FT
Benny Douglas;Pria;85;88,2;70,7;66,4;67,2;81,6;65,1;62;63,8;63;Ekskul_4;NA;Bekerja;NA;2008;Bogor;UKM_1;Tidak;3,5;DKV
Benny Dwyer;Wanita;79,3;66,4;74,7;88,3;64,9;62,6;73,2;79,6;78,6;67,1;Ekskul_6;Orang Tua;Belum;Orang Tua;2009;Tangerang;UKM_2;Tidak;4;FISIP
Benny Edmonds;Pria;84;68,3;81,4;85,6;75,6;87,3;68,6;61,7;81,3;61,5;Ekskul_2;NA;Belum;Orang Tua;2007;Bekasi;UKM_2;Ya;7;DKV
Benny Ellery;Wanita;82,8;65,9;67,3;60,8;63,4;80,7;80,4;62,8;71,4;67,1;Ekskul_4;NA;Belum;Beasiswa;2007;Jakarta;UKM_2;Tidak;7;FISIP
Benny Fowler;Wanita;85,3;84,7;66,7;82,1;88,4;74,9;67;60,5;69,1;61,2;Ekskul_6;NA;Bekerja;Beasiswa;2007;Bekasi;UKM_3;Ya;5;DKV
Benny Gilmour;Pria;63,9;75,9;71,8;77,1;62,6;64,4;79,3;62,1;NA;77,2;Ekskul_6;NA;Bekerja;Beasiswa;2007;Bekasi;UKM_1;Tidak;6,5;FISIP
Benny Harrington;Wanita;65,6;66,2;82,9;65,5;68,6;76,3;85,1;70;72,1;68,3;Tidak;Kos;Bekerja;Orang Tua;2009;Bekasi;UKM_1;Ya;6;FIKOM
Benny Higgs;Wanita;74,6;75,6;65,1;65,9;87,7;66,1;66;81;88,1;71,2;Ekskul_1;NA;Bekerja;Orang Tua;2008;Bekasi;UKM_4;Tidak;4,5;FT
Benny Hood;Wanita;80,2;77,7;75,7;78,7;66,4;60,1;78,2;65,2;83,1;87,5;Ekskul_6;NA;Bekerja;Beasiswa;2007;Bekasi;UKM_3;Tidak;4;DKV
Benny Hopkins;Pria;82,7;64,1;61,4;62,7;75,6;66,4;76,2;80,2;61,5;64,4;Ekskul_5;NA;Bekerja;NA;2009;Tangerang;UKM_3;Tidak;3,5;DKV
Benny Judd;Pria;79,6;79,6;65,3;68,9;71,5;82,6;60,8;82,4;70,9;69,6;Ekskul_6;Orang Tua;Belum;Beasiswa;2007;Serang;UKM_2;Tidak;5,5;FT
Benny Knight;Wanita;65;82,5;NA;68,4;60,1;71,6;78,3;83,2;76,8;84,7;Ekskul_4;Orang Tua;Belum;Orang Tua;2008;Tangerang;Tidak;Ya;4;FIKOM
Benny Martin;Wanita;62,4;61,4;77,7;70,3;85,3;68,1;86,1;72,7;NA;76,8;Tidak;Orang Tua;Belum;Orang Tua;2008;Bekasi;UKM_3;Ya;6,5;FTI
Benny Morris;Pria;79,5;84;88,2;73,1;65,7;75,6;67,5;62,7;83,6;84,4;Ekskul_5;Kos;Bekerja;NA;2007;Serang;Tidak;Ya;7;FTI
Benny Oatway;Wanita;76,4;81,1;77,1;87,3;68,6;74,4;76,7;62,9;81,2;85,9;Ekskul_1;Orang Tua;Belum;Orang Tua;2009;Serang;UKM_4;Ya;3,5;FTI
Benny Parker;Pria;70,6;76,8;82,2;65,9;60,1;61,7;77,9;88,5;85,7;82,5;Ekskul_4;Orang Tua;Belum;NA;2008;Jakarta;UKM_4;Ya;7;DKV
Benny Pratt;Wanita;64,7;63;71,7;72,1;81,7;70,5;77,2;73,2;84,8;74,6;Tidak;Orang Tua;Belum;Orang Tua;2009;Tangerang;UKM_3;Tidak;3,5;DKV
Benny Purvis;Pria;62,8;74,2;78,8;72,7;87,6;80,4;75,1;81;79;62,2;Ekskul_1;NA;Bekerja;Orang Tua;2008;Tangerang;UKM_2;Tidak;4;FISIP
Benny Ralph;Wanita;69,3;85,5;71,2;84,7;60,2;80,6;67,3;65,9;67,5;63,7;Ekskul_2;Kos;Bekerja;NA;2007;Bogor;UKM_2;Ya;4,5;FIKOM
Benny Ranks;Wanita;73,7;63,8;75,7;83,9;80,5;60,1;74;81,5;88;84,4;Tidak;Kos;Belum;NA;2007;Jakarta;UKM_2;Tidak;6,5;FT
Benny Reynolds;Wanita;66,6;87,5;62,9;83,8;77,7;82,3;70,8;63,5;66,6;81;Ekskul_6;NA;Belum;Beasiswa;2008;Bekasi;UKM_1;Tidak;5;FIKOM
Benny Richards;Pria;85,1;77,4;69,6;87,7;74;76,2;76,2;61,6;73,7;65,6;Tidak;Kos;Belum;Orang Tua;2007;Serang;UKM_4;Tidak;6;FTI
Benny Robinson;Pria;65,6;87,7;81;88,4;86,7;78,4;82,2;69;84,9;65,1;Ekskul_5;Orang Tua;Belum;Beasiswa;2007;Tangerang;UKM_1;Tidak;5;FISIP
Benny Rogan;Pria;86,7;73,8;85,1;65,8;85,9;68,2;85,3;61,1;62,8;62,1;Ekskul_5;Kos;Belum;Beasiswa;2009;Serang;UKM_3;Tidak;5;FISIP
Benny Ryan;Pria;75,4;81,5;76,3;87,7;66;88,1;76,1;80,5;73,3;63,2;Ekskul_4;Orang Tua;Belum;NA;2009;Karawang;Tidak;Tidak;4;FISIP
Benny Saunders;Wanita;87,4;65,1;NA;69,7;82,1;64,3;72,5;60,9;61,8;NA;Ekskul_5;Orang Tua;Bekerja;NA;2009;Bekasi;UKM_4;Tidak;5;FISIP
Benny Sawyer;Wanita;84,8;60,5;62,4;80,2;81,6;61,2;74,1;85,4;75,8;85,2;Ekskul_2;Orang Tua;Belum;NA;2009;Bogor;Tidak;Tidak;5;FT
Benny Simpson;Wanita;70,8;62,5;NA;85,6;76,3;73,2;81,7;85,8;82,7;86,9;Ekskul_1;NA;Belum;Orang Tua;2007;Jakarta;UKM_1;Tidak;4;DKV
Benny Sloan;Pria;67;74,4;69,1;68;63,4;63,5;65,1;73,4;81,6;85;Ekskul_5;Kos;Belum;NA;2007;Tangerang;UKM_3;Tidak;5,5;FTI
Benny Squire;Pria;83,8;79,9;84,5;70,6;85,3;68,1;78,8;65;71,6;82,8;Ekskul_4;NA;Belum;Beasiswa;2009;Karawang;UKM_4;Tidak;6,5;FISIP
Benny Stevenson;Wanita;60,2;72,5;76,2;63,3;86,1;79,3;77,8;80,3;63,3;61,8;Ekskul_6;NA;Bekerja;Orang Tua;2009;Bogor;UKM_4;Tidak;6;DKV
Benny Taylor;Pria;87,1;73,2;68,1;60,8;80,3;67,4;76,2;66,4;63,2;66,6;Ekskul_3;NA;Bekerja;NA;2008;Jakarta;UKM_1;Tidak;5,5;DKV
Benny Torres;Wanita;64,2;88,5;84,1;77,1;83,5;63,3;83,6;88,6;85,5;69,6;Ekskul_5;Kos;Belum;NA;2008;Bekasi;UKM_1;Ya;4;FISIP
Benny Tutton;Wanita;87,8;82,2;66,3;63;62,2;68,4;79,3;71,1;66,2;76,8;Ekskul_6;Kos;Belum;NA;2009;Bekasi;UKM_3;Tidak;6;DKV
Benny Umney;Pria;83,7;64,6;83,9;69,8;68,7;86,1;67,4;84,1;69,1;61,9;Ekskul_5;Orang Tua;Belum;NA;2009;Tangerang;Tidak;Tidak;4;FT
Benny Warner;Wanita;81,6;80,8;68,7;83,9;81,7;77,1;61,3;70,3;66,5;75,9;Ekskul_1;NA;Bekerja;Beasiswa;2008;Jakarta;UKM_2;Ya;3,5;DKV
Benny Warren;Pria;86,4;60,9;82,6;61,8;85,4;77,9;70,6;84,4;61,8;NA;Ekskul_4;NA;Belum;Beasiswa;2007;Bekasi;UKM_4;Ya;6,5;FTI
Benny Whittle;Pria;84,5;83,2;87,9;67,9;63,8;81,3;73,8;79,2;84,7;85,6;Ekskul_5;Orang Tua;Belum;NA;2008;Bogor;UKM_3;Ya;5;FTI
Benny Widdows;Pria;72,5;63,6;68,7;75,3;78,6;76,6;77,4;81,8;61,5;63,8;Ekskul_3;Orang Tua;Bekerja;Orang Tua;2008;Serang;Tidak;Tidak;7;FT
Benny Windsor;Wanita;82,3;72,1;84,3;66,7;76,3;72,9;82,9;67,4;66,9;76,6;Ekskul_1;Orang Tua;Bekerja;Orang Tua;2009;Serang;UKM_2;Ya;7;FIKOM
Benny Wise;Wanita;73,7;76,6;81,3;61,3;67,5;78,8;65,6;77;64,7;70,2;Ekskul_3;Kos;Belum;Orang Tua;2009;Jakarta;Tidak;Ya;4;DKV
Benny Wood;Wanita;83,4;66,2;64,9;71;64,9;78,7;81,2;81,2;83,6;87,8;Ekskul_2;NA;Belum;Orang Tua;2009;Karawang;UKM_2;Tidak;4;FISIP
Benny Wright;Wanita;82,4;74,1;69,6;66,3;80,1;65,6;66;73;76,6;73,6;Ekskul_3;Orang Tua;Belum;Orang Tua;2007;Karawang;UKM_4;Tidak;6;FT
Benny Yard;Wanita;81,9;79,4;82,3;61,1;61,7;60,6;78,5;65,3;77;80,5;Ekskul_6;Kos;Bekerja;Orang Tua;2007;Tangerang;UKM_1;Ya;5;DKV
Bernadette Clarke;Pria;72;61,3;80,7;78,9;74,7;88;77,3;60,2;64,5;63,7;Ekskul_1;NA;Belum;Orang Tua;2008;Bekasi;Tidak;Ya;4;FIKOM
Bernadette Dillon;Pria;79,4;64,7;78,8;61,3;77,3;86,2;63,5;61;62,7;83,3;Tidak;NA;Belum;Beasiswa;2009;Serang;UKM_4;Ya;3,5;FIKOM
Bernadette Gosling;Wanita;75;87,8;66,5;76,6;80;69;83,3;63,5;79,3;75;Ekskul_2;Orang Tua;Belum;NA;2007;Jakarta;UKM_3;Tidak;5,5;FISIP
Bernadette Graham;Wanita;70,9;88,2;74,9;64,1;65,2;66,9;63,4;81;63,8;77,8;Ekskul_4;Orang Tua;Bekerja;NA;2009;Jakarta;UKM_3;Tidak;4,5;FIKOM
Bernadette Nash;Wanita;62,4;82;74,8;87,8;75,8;80,1;63,2;75,8;79,3;77;Ekskul_3;Kos;Belum;Beasiswa;2009;Tangerang;UKM_3;Tidak;4;FT
Bernadette Nicholls;Pria;75,4;88,4;66,4;71,4;63,4;83,5;64;83,9;84,5;NA;Ekskul_3;NA;Belum;Orang Tua;2009;Bekasi;UKM_4;Ya;6;DKV
Bernadette Nurton;Pria;66,9;75,3;78;81,6;79,8;60,6;87,5;67,6;64,4;85,2;Ekskul_3;Kos;Belum;Orang Tua;2007;Karawang;UKM_4;Tidak;5,5;FTI
Bernadette Price;Pria;81,5;76;62,7;62;86,9;66,3;60,5;69;79,4;63,3;Ekskul_3;NA;Bekerja;Beasiswa;2009;Karawang;UKM_2;Ya;4,5;FISIP
Bernadette Savage;Pria;68,1;72,3;68,4;82,5;65,3;86,3;85;65,8;66,6;61,9;Ekskul_2;Kos;Belum;Beasiswa;2007;Bogor;UKM_3;Tidak;4,5;FISIP
Bernadette Stewart;Wanita;63,9;81,3;72,5;68,3;72,6;63,2;75,8;86,3;76,1;73,9;Ekskul_6;Orang Tua;Bekerja;Beasiswa;2009;Serang;UKM_1;Ya;5;FISIP
Bernadette Walsh;Pria;87,8;78,2;70;75,9;76,6;83,5;73,3;63,1;60,6;70,9;Ekskul_6;NA;Belum;Beasiswa;2007;Tangerang;UKM_3;Ya;3,5;FISIP
Bernadette Yarwood;Pria;64,3;88,4;62,1;63,9;82,4;83,6;71,5;66,6;77;82,5;Ekskul_4;Orang Tua;Belum;NA;2007;Tangerang;UKM_2;Tidak;4,5;FT
Bethany Benson;Pria;81,4;71,9;75,1;86,3;84,3;80,1;60,5;77,5;88,4;64,7;Ekskul_2;NA;Bekerja;Orang Tua;2007;Bekasi;UKM_4;Ya;4;FT
Bethany Booth;Wanita;61,1;80,4;83,5;62,9;80,6;77,5;75;84,2;79,3;87,6;Ekskul_6;NA;Bekerja;NA;2009;Tangerang;UKM_4;Ya;4;DKV
Bethany Bryson;Wanita;86,8;85,2;67,5;77,3;68,1;78;78,5;88,3;81,7;67,7;Ekskul_2;Kos;Bekerja;NA;2009;Tangerang;UKM_4;Tidak;6;FISIP
Bethany Davies;Pria;61;61,4;73,9;62,5;87,1;73,4;65,8;85,5;60,5;75,6;Ekskul_1;Orang Tua;Belum;Beasiswa;2008;Tangerang;Tidak;Tidak;5,5;FIKOM
Bethany Flynn;Wanita;86,4;88,6;63,7;64,5;70,6;69,9;81,8;60,6;69,8;NA;Ekskul_3;NA;Belum;Orang Tua;2008;Bogor;Tidak;Ya;6;FTI
Bethany Hunt;Pria;63,9;81,5;85,5;60,7;60,3;72,4;78,6;67,3;63,6;61,8;Ekskul_4;Orang Tua;Bekerja;Orang Tua;2007;Karawang;UKM_2;Tidak;4;FTI
Bethany Knight;Pria;88,3;80,6;75,1;77;65,5;70,2;78,9;63,9;74,6;79,1;Ekskul_1;Kos;Bekerja;Orang Tua;2007;Tangerang;UKM_3;Ya;7;FTI
Bethany Lunt;Pria;83,3;75,1;64,8;61,2;79,7;88,1;80,9;78,1;60,7;60,1;Ekskul_2;Orang Tua;Belum;Beasiswa;2007;Serang;UKM_3;Ya;7;DKV
Bethany Michael;Pria;83,1;83,6;62,9;71,7;74;61,2;61,5;70,5;73,7;86,1;Ekskul_5;Orang Tua;Belum;Beasiswa;2007;Bekasi;UKM_4;Tidak;6;FIKOM
Bethany Oliver;Pria;71,8;66,5;63,3;63,2;67,7;72,3;65,3;83,9;74,2;79,7;Ekskul_6;Kos;Belum;Beasiswa;2007;Serang;UKM_1;Tidak;4,5;FTI
Bethany Ripley;Wanita;72,5;87,2;88,5;74,5;73,9;71,4;67,2;77;87,3;86,2;Tidak;NA;Belum;Beasiswa;2009;Karawang;UKM_4;Tidak;5;FIKOM
Bethany Selby;Wanita;78,9;74,7;86,4;62,9;83,5;70,9;85,9;74,5;65,4;85;Ekskul_4;NA;Belum;Beasiswa;2009;Jakarta;UKM_2;Tidak;6,5;FTI
Bethany Stanton;Pria;73,1;67,8;NA;82,1;66,5;65,1;83,7;86,3;62,2;62,4;Ekskul_2;NA;Bekerja;NA;2009;Jakarta;UKM_3;Tidak;7;FISIP
Bethany Steer;Wanita;81,9;81,3;88,6;71,1;76,8;87,1;77,5;65,2;74,3;63;Tidak;Kos;Belum;NA;2007;Jakarta;UKM_1;Tidak;4,5;FTI
Bethany Sylvester;Pria;79;79,2;64,2;65,7;71,9;85,2;88;62,2;65,8;NA;Ekskul_6;Kos;Belum;Orang Tua;2007;Karawang;UKM_2;Ya;5;FT
Bethany Woodcock;Pria;79,1;68,8;76,6;69,7;62,7;70,2;76,6;64,4;80,9;74,1;Ekskul_4;Orang Tua;Belum;Orang Tua;2008;Jakarta;Tidak;Ya;6;FTI
Blake Burnley;Wanita;66,5;64;71,8;86;82,9;87,8;60,1;85,5;74,3;NA;Ekskul_2;Orang Tua;Bekerja;NA;2009;Tangerang;UKM_2;Tidak;5;FT
Blake Cann;Pria;71,8;65,5;88,6;66,4;84,6;63,1;85,8;87,5;71,8;77,3;Tidak;NA;Bekerja;Orang Tua;2009;Bekasi;UKM_4;Ya;6,5;FTI
Blake Freeburn;Wanita;84,5;70,6;79,2;79,7;79,1;83,8;67,1;73,2;60,2;82,5;Tidak;NA;Bekerja;Beasiswa;2007;Jakarta;Tidak;Tidak;6;DKV
Blake Gates;Wanita;69,5;87,1;67,7;79,9;63,8;76,2;66,9;79,5;66,2;83,3;Ekskul_1;NA;Bekerja;Beasiswa;2008;Bogor;UKM_2;Tidak;4,5;FISIP
Blake Giles;Pria;71,8;66,9;65;85,2;82,1;63,3;70,8;68,6;85,5;68,4;Ekskul_3;Orang Tua;Bekerja;NA;2007;Tangerang;Tidak;Ya;5,5;FISIP
Blake Murphy;Pria;87,4;79,1;65,3;81,3;66,8;78,4;66,4;79,8;67,7;70,1;Ekskul_3;Kos;Bekerja;Beasiswa;2009;Karawang;UKM_3;Tidak;7;FIKOM
Blake Niles;Pria;79;85,7;82,2;68,7;74,3;66,8;74;64,1;78,3;60,6;Tidak;NA;Bekerja;Orang Tua;2007;Tangerang;UKM_3;Ya;5,5;FT
Blake Rodwell;Pria;87,1;62,7;77,9;67,5;61,9;81,8;60,9;87;88,4;74,7;Ekskul_6;Kos;Belum;Beasiswa;2008;Tangerang;UKM_1;Ya;7;FTI
Blake Vincent;Pria;85,5;76,3;NA;85,8;76,8;76,7;70,3;88;80,9;85,1;Ekskul_1;NA;Bekerja;Beasiswa;2008;Jakarta;UKM_2;Tidak;4,5;FISIP
Blake Vinton;Pria;62,7;64,2;81,5;80,1;74,8;81,9;70,8;71,9;78;87,8;Ekskul_1;Kos;Belum;Beasiswa;2009;Bekasi;UKM_2;Ya;4;FIKOM
Blake Waterhouse;Pria;81,1;82;74,8;79,8;71,9;68,9;79,5;85,3;63,5;70,6;Ekskul_6;Kos;Bekerja;NA;2009;Jakarta;UKM_1;Ya;6;FISIP
Blake Wood;Wanita;87,3;66,1;84,4;70,2;76,5;82,1;65,3;69,7;73,9;65,5;Ekskul_6;Orang Tua;Bekerja;Orang Tua;2009;Tangerang;UKM_2;Tidak;5;FTI
Blake Woodley;Pria;75,9;84,3;84,5;85,9;69,3;69,1;77,1;71,3;66,4;71;Ekskul_4;NA;Bekerja;Beasiswa;2009;Bogor;UKM_1;Ya;5,5;FT
Blake Wooldridge;Wanita;69,1;62,5;76,4;68,8;78,4;77,5;78,8;62,6;64,8;71,7;Ekskul_6;Kos;Bekerja;NA;2008;Tangerang;Tidak;Ya;6,5;FTI
Bob Allcott;Pria;84,9;73,5;76,2;74,9;62;87,3;71,4;63,1;61,8;62,1;Tidak;Orang Tua;Belum;Beasiswa;2008;Serang;UKM_3;Tidak;6,5;FIKOM
Bob Allington;Pria;80,6;69,1;83,8;62;85,2;78,1;70,5;62,7;65,6;62,5;Ekskul_5;Kos;Belum;NA;2007;Tangerang;Tidak;Ya;7;DKV
Bob Ballard;Wanita;60,2;62,4;83;85,2;70;63,4;76,5;73,7;77;86,9;Ekskul_1;Kos;Bekerja;Orang Tua;2007;Bogor;UKM_3;Tidak;4;FT
Bob Baxter;Wanita;68,1;67,5;71,1;60,2;69,8;60,6;72,9;82,2;83,8;66,5;Tidak;Kos;Belum;Beasiswa;2008;Karawang;Tidak;Tidak;4,5;FIKOM
Bob Bennett;Wanita;63,6;60,8;88,4;61,3;67,2;65,1;79,8;68,1;62,9;77,7;Ekskul_4;NA;Bekerja;NA;2008;Karawang;UKM_2;Tidak;6;FTI
Bob Blackwall;Pria;72,3;80,8;62,9;75,9;74;68,6;70,5;85,8;66,1;63,2;Ekskul_3;Orang Tua;Belum;NA;2007;Jakarta;UKM_3;Tidak;6,5;FTI
Bob Burnley;Wanita;60,3;65,2;80,2;78,5;64,5;79,3;64,7;86,4;86;62,6;Ekskul_6;NA;Belum;NA;2007;Bogor;Tidak;Tidak;6,5;FTI
Bob Cobb;Wanita;60,8;80,2;73,9;83,2;72;82,5;79,9;81,9;63,1;80,2;Ekskul_4;NA;Bekerja;NA;2008;Bekasi;Tidak;Tidak;4;FTI
Bob Corbett;Pria;88,1;84,7;74,7;76,5;87,7;81,5;81,3;88;74,4;86,8;Ekskul_1;Orang Tua;Belum;Beasiswa;2007;Bekasi;UKM_3;Ya;5;FTI
Bob Cunningham;Wanita;81,7;65,1;70,2;88,5;60,7;75,4;79,4;87,1;65,1;65,2;Ekskul_6;Kos;Belum;Orang Tua;2007;Bekasi;Tidak;Tidak;4,5;FIKOM
Bob Devonport;Wanita;64,3;60,4;81,4;85,1;68,3;66,3;74,4;73,4;77,7;81,2;Ekskul_6;NA;Belum;NA;2008;Jakarta;UKM_3;Tidak;4;FIKOM
Bob Donovan;Pria;87,5;77,9;66,5;77,9;76,2;66,5;87,5;62;87,1;76,4;Ekskul_2;Orang Tua;Bekerja;Orang Tua;2008;Jakarta;UKM_3;Tidak;6,5;FISIP
Bob Drummond;Pria;63,7;76,5;86,7;81,9;68,3;75,4;68,1;63,6;75,3;NA;Ekskul_5;Orang Tua;Belum;NA;2008;Jakarta;UKM_3;Tidak;4,5;DKV
Bob Dwyer;Pria;77;75,2;79,4;86,5;85,8;85,8;78,9;76;71,1;80,3;Ekskul_6;Kos;Belum;Beasiswa;2007;Jakarta;UKM_2;Ya;7;FIKOM
Bob Edley;Wanita;79,8;60,4;67,8;64,9;86,7;65,8;83,8;63,1;73,5;80,8;Tidak;Orang Tua;Bekerja;NA;2007;Bogor;Tidak;Ya;5,5;FIKOM
Bob Gibbons;Wanita;87,3;68,2;76,6;66,7;62,6;64,3;78,1;74,7;81,2;82,1;Ekskul_6;Kos;Belum;Beasiswa;2007;Tangerang;UKM_1;Ya;3,5;DKV
Bob Gray;Pria;68,1;73,1;65,6;63,3;73;79,6;70,2;74,9;NA;81,6;Ekskul_6;Kos;Belum;Orang Tua;2008;Tangerang;UKM_1;Tidak;6;FIKOM
Bob Holt;Wanita;67,8;72,5;71,6;77,3;71,9;71,8;70,1;67,8;62,6;69,4;Ekskul_4;Kos;Belum;NA;2007;Tangerang;UKM_1;Tidak;4;DKV
Bob Jenkins;Wanita;79,3;74;62,9;81,5;86,7;63,9;68,4;70,6;83,2;71,3;Ekskul_3;NA;Belum;Orang Tua;2009;Serang;UKM_3;Tidak;3,5;FIKOM
Bob Lambert;Wanita;65,9;83,5;80;86,3;88,5;66,4;85,2;81,5;73;87,2;Ekskul_5;Kos;Belum;NA;2007;Serang;UKM_1;Tidak;6;FTI
Bob Lane;Pria;71,6;86,5;61,1;79,4;79,7;63,2;81,6;85,4;71,4;74,8;Ekskul_6;Kos;Bekerja;NA;2008;Serang;UKM_2;Tidak;7;FT
Bob Lowe;Pria;83,6;74;75,1;63,9;73,7;63,6;75,2;88;72,1;65,5;Ekskul_3;Orang Tua;Bekerja;Beasiswa;2008;Bekasi;UKM_2;Tidak;7;FT
Bob Matthews;Pria;67,2;80,3;67,1;74,9;83,7;82,3;63,9;83,6;75,5;74,2;Ekskul_3;Orang Tua;Belum;Orang Tua;2009;Bogor;UKM_2;Tidak;4;FIKOM
Bob Mitchell;Wanita;64,3;64;66,5;61,2;80,5;87,9;84,7;69,5;86,5;72,7;Ekskul_6;Orang Tua;Belum;Beasiswa;2008;Bogor;Tidak;Tidak;5,5;DKV
Bob Neville;Wanita;83,8;60,4;74,9;86,8;83,4;83,4;76,4;72,8;83,8;82;Ekskul_4;NA;Belum;Orang Tua;2007;Bogor;UKM_4;Tidak;5;DKV
Bob Nicolas;Pria;66,7;74,9;NA;84,2;65,6;84,3;60,1;76,3;69,4;70,7;Ekskul_2;Kos;Bekerja;NA;2009;Karawang;Tidak;Ya;7;DKV
Bob Oldfield;Pria;72,3;87,2;69,5;66,5;77,1;65,4;64,5;86,9;83,7;82,2;Ekskul_4;NA;Bekerja;NA;2009;Bogor;UKM_3;Tidak;4;FISIP
Bob Overson;Wanita;83,8;63,5;67,4;66,8;69,4;85,5;84,6;74,9;67,5;80,4;Tidak;Orang Tua;Belum;Beasiswa;2007;Karawang;UKM_4;Ya;5,5;FT
Bob Pitt;Pria;83,9;64,8;64,9;87,8;81,2;82,3;74,7;85,1;74,5;NA;Ekskul_5;NA;Bekerja;Beasiswa;2007;Serang;Tidak;Ya;3,5;FISIP
Bob Quinton;Pria;65,5;67;87,1;82,4;77;71,9;74,7;65,8;77,6;NA;Ekskul_5;NA;Bekerja;Orang Tua;2008;Serang;UKM_4;Tidak;7;DKV
Bob Riley;Wanita;77,6;75,9;64,3;69,5;73,9;71,1;71,5;84,8;60,5;74,1;Ekskul_6;NA;Belum;NA;2009;Karawang;UKM_2;Ya;4;FTI
Bob Ring;Pria;70,6;74,3;84,1;84,3;86,6;63,4;87,8;66,2;62,1;76,1;Ekskul_5;Orang Tua;Belum;Beasiswa;2007;Tangerang;UKM_4;Tidak;4;FIKOM
Bob Scott;Wanita;61,9;70,8;74,1;64,1;80,3;74,5;62,6;84,2;81,8;77,3;Ekskul_6;NA;Bekerja;Orang Tua;2007;Serang;Tidak;Tidak;7;FIKOM
Bob Shaw;Pria;60,3;61,6;77,9;60,8;85,7;78,3;81,5;77,9;68,6;74;Ekskul_2;Orang Tua;Bekerja;NA;2009;Karawang;UKM_1;Tidak;4;FISIP
Bob Silva;Wanita;79,2;73,9;68,7;62,8;72,2;83,7;63,9;74;85,7;NA;Ekskul_2;Orang Tua;Belum;NA;2008;Karawang;UKM_4;Ya;6,5;FT
Bob Snell;Wanita;62,7;79,4;79,5;70,6;83,4;60,2;84,1;87,4;61,4;76,7;Tidak;NA;Belum;Orang Tua;2008;Tangerang;UKM_1;Tidak;5;DKV
Bob Squire;Wanita;85,2;74,8;79,1;84,5;66,4;77,9;85,9;85,5;72,5;80;Ekskul_3;Orang Tua;Belum;Orang Tua;2007;Karawang;Tidak;Tidak;3,5;FTI
Bob Stubbs;Wanita;82,9;62,7;70,9;85,9;86,7;77,5;82,2;68,3;69,4;60,3;Ekskul_1;NA;Belum;Beasiswa;2008;Tangerang;UKM_3;Tidak;6,5;DKV
Bob Tait;Wanita;75;77,9;NA;70,1;65,3;67,3;87,2;77,8;79,7;60,7;Ekskul_5;Kos;Bekerja;NA;2009;Tangerang;UKM_4;Tidak;4,5;FT
Bob Taylor;Wanita;66,3;84,4;85,3;84,6;72,2;84,2;66,1;73,4;70,2;79,2;Ekskul_4;NA;Bekerja;Beasiswa;2007;Bogor;Tidak;Tidak;4,5;FT
